Campaign,Campaign Status,Campaign Type,Bid Strategy Type,Campaign Daily Budget (USD),Network (Google Search),Network (Search Partners),Network (Google Display),Languages,Locations
CONV_SEARCH_AU_BOOKING_20260322,Enabled,Search,Maximize Clicks,7.00,Include,Include,Exclude,English,"Australia, Singapore, Malaysia, United Kingdom, United States"
CONV_SEARCH_AU_BRAND_20260322,Enabled,Search,Maximize Clicks,10.00,Include,Exclude,Exclude,English,"Australia, Singapore, Malaysia, United Kingdom, United States"
CONV_PMAX_GLOBAL_ALLPACKAGES_20260322,Enabled,Performance Max,Maximize Conversions,36.00,Include,Include,Include,English,"Australia, Singapore, Malaysia, United Kingdom, United States"
FERRY_ID_BOOKING_Day1,Enabled,Search,Maximize Clicks,8.00,Include,Include,Exclude,English,"Indonesia"
FERRY_AU_BOOKING_Day1,Enabled,Search,Maximize Clicks,9.00,Include,Include,Exclude,English,"Australia"
